,Book Name,Author,Rating,Number of Reviews,Price,Description,hours,minutes,Genres Extracted
4473,101 Power Thoughts,Louise L. Hay,4.4,173,257,"Sample Thought: I CAN RELEASE THE PAST AND FORGIVE EVERYONE. I free myself and everyone in my life from old, past hurts. They are free and I am free to move into new, glorious experiences.",1,50,"['New Thought Spirituality', 'Free Enterprise', 'Consciousness & Thought']"
4474,Liar's Poker: Rising Through the Wreckage on Wall Street,Michael Lewis,4.5,1129,452,Liar's Poker: Rising Through the Wreckage on Wall Street - No description available.,2,30,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4476,"The Achievement Habit: Stop Wishing, Start Doing, and Take Command of Your Life",Bernard Roth,4.2,222,10378,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",10,10,['Plays']
4486,The Resonance Effect: How Frequency Specific Microcurrent Is Changing Medicine,Carolyn McMakin,4.7,109,1254,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",10,10,['Plays']
4487,"Belong: Find Your People, Create Community & Live a More Connected Life",Radha Agrawal,4.7,119,501,"Belong: Find Your People, Create Community & Live a More Connected Life - No description available.",5,20,"['Business Communication', 'Family Life Fiction', 'Communism & Socialism']"
4488,Airhead,Meg Cabot,4.5,84,984,Airhead - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4489,Yajnaseni: The Story of Draupadi,Pratibha Ray,4.2,116,1003,"The story of Draupadi, one of the most fascinating characters in the Mahabharata.",19,49,"['Contemporary Fiction', 'Religious & Spiritual Fiction', 'Crime']"
4490,The Middle Length Discourses of the Buddha: A Translation of the Majjhima Nikāya,Bhikkhu Ñānamoli,4.9,159,1898,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",10,10,['Plays']
4492,Jonathan Strange & Mr. Norrell,Simon Prebble,4.2,1564,1138,"Shortlisted for Audible's Listen of the Year, 2006.",10,10,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4493,Jonathan Strange & Mr. Norrell,Simon Prebble,4.2,1564,1138,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",10,10,['Plays']
4494,Ten Things I Love About You,Julia Quinn,4.4,144,10378,Ten Things I Love About You - No description available.,10,10,['Love & Romance']
4504,High Fidelity,Nick Hornby,4.4,136,683,High Fidelity - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4506,"War and Peace, Volume 2",Leo Tolstoy,4.489294063,,1172,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",10,10,"['Cooking', 'Plays']"
4507,"War and Peace, Volume 2",Leo Tolstoy,4.489294063,,1172,"War and Peace is one of the greatest monuments in world literature. Set against the dramatic backdrop of the Napoleonic Wars, it examines the relationship between the individual and the relentless march of history. Here are the universal themes of love and hate, ambition and despair, youth and age, expressed with a swirling vitality which makes the book as accessible today as it was when it was first published in 1869.",10,10,"['ESP', 'History', 'World Literature']"
4508,14,Peter Clines,4.3,811,836,14 - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4509,"Keto Diet for Beginners: The 2020’s Definitive Guide to Ketogenic Diet for Weight Loss, Healing Body, and a Healthy Lifestyle. A Step by Step Guide to Low Carb and High Fat, Quick and Easy for Tasty Food!",Rose Smith,4.489294063,,668,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4510,Powerful Teaching: Unleash the Science of Learning,Pooja K. Agarwal,4.8,146,586,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
4513,Artemis Fowl: The Arctic Incident,Eoin Colfer,4.7,718,683,Artemis Fowl: The Arctic Incident - No description available.,5,20,['Art']
4514,"Ask Again, Yes",Mary Beth Keane,4.3,1844,888,"Ask Again, Yes - No description available.",5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4515,The Truth: An Uncomfortable Book About Relationships,Neil Strauss,4.7,512,949,The Truth: An Uncomfortable Book About Relationships - No description available.,5,20,['Relationships']
4517,Twisted Palace,Erin Watt,4.5,725,836,Twisted Palace - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4518,Love You Forever,Abbyshek Chandra,4.8,181,668,"Abby is 17 when he first falls in love. Shalini loves him too and wants to marry him. But after three years of their relationship, she dumps him brutally one day, leaving him with a torturous set of unanswered questions. Why did Shalini suddenly dump Abby? Does Abby still love her?",5,20,['Relationships']
4519,"Accidental Genius: Using Writing to Generate Your Best Ideas, Insight and Content",Mark Levy,4.2,57,601,"Accidental Genius: Using Writing to Generate Your Best Ideas, Insight and Content - No description available.",5,20,"['Creativity & Genius', 'History of Ideas', 'Business Writing']"
4521,Think Smarter: Critical Thinking to Improve Problem-Solving and Decision-Making Skills,Michael Kallet,4.6,91,586,Think Smarter: Critical Thinking to Improve Problem-Solving and Decision-Making Skills - No description available.,5,20,['Art']
4522,When Buyers Say No: Essential Strategies for Keeping a Sale Moving Forward,Tom Hopkins,4.4,47,500,When Buyers Say No: Essential Strategies for Keeping a Sale Moving Forward - No description available.,2,30,['Movie']
4523,Paper Princess,Erin Watt,4.4,1308,836,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4524,"The Untethered Soul Lecture Series Collection, Volumes 1-4",Michael A. Singer,4.489294063,,1149,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",10,10,"['Cooking', 'Plays']"
4525,Man’s Search for Himself,Rollo May,4.6,112,586,Man’s Search for Himself - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4527,Children of Blood and Bone,Tomi Adeyemi,4.7,4945,323,Children of Blood and Bone - No description available.,2,30,"['""Childrens Science""', '""Childrens Fantasy""', '""Childrens History""']"
4528,The Amazing Development of Men: How Men Change from Birth to Seniority and the Most Common Mistakes to Avoid,Alison A. Armstrong,4.489294063,,352,The Amazing Development of Men: How Men Change from Birth to Seniority and the Most Common Mistakes to Avoid - No description available.,2,30,"['Climate Change', 'Business Development', 'Personal Development']"
4529,"Ready, Fire, Aim: Zero to $100 Million in No Time Flat",Michael Masterson,4.6,128,938,"Ready, Fire, Aim: Zero to $100 Million in No Time Flat - No description available.",5,20,"['Time Travel Science Fiction', 'Time Travel Science Fiction for Children', 'Time Management']"
4538,"Your Captivating Love: The Bennett Family, Book 2",Layla Hagen,4.7,282,891,"Your Captivating Love: The Bennett Family, Book 2 - No description available.",5,20,"['Love & Romance', '""Childrens Family""', 'Fiction on Family for Teens']"
4539,"Son of the Black Sword: Saga of the Forgotten Warrior, Book 1",Larry Correia,4.7,502,1003,"Son of the Black Sword: Saga of the Forgotten Warrior, Book 1 - No description available.",10,10,['Words']
4540,The Icarus Deception: How High Will You Fly?,Seth Godin,4.5,296,1005,The Icarus Deception: How High Will You Fly? - No description available.,10,10,['Hoax & Deception True Crime']
4541,Banker to the Poor: Micro-Lending and the Battle Against World Poverty,Muhammad Yunus,4.6,147,585,"In Banker to the Poor, Yunus traces the journey that led him to rethink the economic relationship between rich and poor and recounts the challenges he faced in founding Grameen. He provides wise, hopeful guidance for anyone who would like to join him in the burgeoning world movement of micro-lending to eradicate world poverty.",7,11,"['Banks & Banking', 'Business Development', 'Biographies of Business Leaders']"
4543,A Murder on Malabar Hill,Sujata Massey,4.4,65,879,A Murder on Malabar Hill - No description available.,5,20,['Murder True Crime']
4544,Divorcing and Healing from a Narcissist: Emotional and Narcissistic Abuse Recovery. Co-Parenting After an Emotionally Destructive Marriage and Splitting Up with a Toxic Ex,Dr. Theresa J. Covert,4.3,98,501,Divorcing and Healing from a Narcissist: Emotional and Narcissistic Abuse Recovery. Co-Parenting After an Emotionally Destructive Marriage and Splitting Up with a Toxic Ex - No description available.,5,20,"['Marriage', 'Parenting']"
4545,Improve Your Posture: Enjoy Perfect Posture with Subliminal Messages,Subliminal Guru,4.489294063,,1291,Improve Your Posture: Enjoy Perfect Posture with Subliminal Messages - No description available.,10,10,"['Memory Improvement', 'Business Motivation & Self-Improvement']"
4548,The Villa,Nora Roberts,4.6,577,1005,The Villa - No description available.,10,10,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4549,"How to be a Productivity Ninja: Worry Less, Achieve More and Love What You Do",Graham Allcott,4.4,258,569,"How to be a Productivity Ninja: Worry Less, Achieve More and Love What You Do - No description available.",5,20,"['Love & Romance', 'Time Management & Productivity']"
4550,Jeevan Ka Param Satya (Hindi),OSHO,4.489294063,,167,Jeevan Ka Param Satya (Hindi) - No description available.,1,50,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4551,The Innovator's Solution: Creating and Sustaining Successful Growth,Joel Leffert,4.6,158,937,The Innovator's Solution: Creating and Sustaining Successful Growth - No description available.,5,20,"['Sustainable Development', 'Personal Success', 'Christian Spiritual Growth']"
4552,The Day-by-Day Pregnancy Book: Count Down Your Pregnancy Day by Day with Advice from a Team of Experts,Dr Maggie Blott,4.8,620,1093,The Day-by-Day Pregnancy Book: Count Down Your Pregnancy Day by Day with Advice from a Team of Experts - No description available.,10,10,"['Pregnancy & Childbirth', 'Economics Books', 'Biology Books']"
4553,The Unwritten Laws of Engineering,W. J. King,4.2,41,164,The Unwritten Laws of Engineering - No description available.,1,50,['Law']
4554,The Inheritors: Stories of Entrepreneurship and Success,Sonu Bhasin,4.4,51,1005,The Inheritors: Stories of Entrepreneurship and Success - No description available.,10,10,['Entrepreneurship']
4555,The Overdue Life of Amy Byler,Kelly Harms,4.4,4121,837,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
4556,"Meant for You: The Connor Family Series, Book 3",Layla Hagen,4.7,139,668,"Meant for You: The Connor Family Series, Book 3 - No description available.",5,20,"['""Childrens Family""', 'Fiction on Family for Teens', 'Economics Books']"
4557,My Stroke of Insight,Jill Bolte Taylor,4.6,2056,879,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
4558,The Pilgrim's Progress,John Bunyan,4.5,1016,656,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4559,When Only Love Remains,Durjoy Datta,4.3,255,879,When Only Love Remains - No description available.,5,20,['Love & Romance']
4560,"Critical Thinking: How to Effectively Reason, Understand Irrationality, and Make Better Decisions",Stuart Vyse,4.489294063,,515,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
